objectid,title,filename,format,creator,date,datecreated,description,subject,location,latitude,longitude,source,type,rights,creativecommons,rightsnotes,citation,archivedpage
perez_audio_oralhistoryinterview,Oral history interview with Richard F. Smith [Sound Recording 01],perez_audio_oralhistoryinterview.mp3,audio/mp3,Richard F. Smith,1978-09-20,1978-09-20,An audio recording of an interview conducted by Charles Digregorio interviewing Richard F. Smith where he discusses his invovlement in the forestry industry in Oregon and other states.,Workers; Foresters; Forestry Schools and Education,Sandy (inhabited place),45.3973141,-122.2630704,"<a href=""https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01"" target=""_blank"">Oral history interview with Richard F. Smith - The Oregon Historical Society</a>",Sound,"<a href=""http://rightsstatements.org/vocab/InC-NC/1.0/""target=""_blank"">In Copyright - Non-Commercial Use Permitted<a/>","<a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/"" target=""_blank"">Creative Commons BY-NC-SA</a>",Copyright for this interview is held by the Oregon Historical Society,"""Oral history interview with Richard F. Smith [Sound Recording 01],"" Richard F. Smith. 1978, Oregon Historical Society. Library, Oregon. The Oregon Historical Society, Oral history interview with Richard F. Smith, <a href='https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01' target='_blank'>https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01</a>","<a href=""https://web.archive.org/web/20230521231956/https://digitalcollections.ohs.org/oral-history-interview-with-richard-f-smith-sound-recording-01"" target=""_blank"">Archived Page</a>"
perez_image_osustudentsawing,OSU Forestry Students Participating in a Sawing Event at the Annual Spring Thaw,perez_image_osustudentsawing.jpeg,image/jpeg,Harriet's Photographs,1963,1963,A depiction of students at OSU sawing at the Annual Spring Thaw event which was an event sponsored by the OSU Forestry Club.,Forests and forestry—Equipment and supplies; Forestry Schools and Education,Corvallis (inhabited place),44.5645659,-123.2620435,"<a href=""https://www.oregondigital.org/concern/images/df719k92z"" target""_blank"">OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","<a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/"" target=""_blank"">Creative Commons BY-NC-SA</a>",,"""OSU Forestry Students Participating in a Sawing Event at the Annual Spring Thaw,"" Harriet's Photographs. 1963, Oregon Digital, Oregon. Oregon Digital, Harriet's Photograph Collection, 1868-1996 (P HC), <a href='https://www.oregondigital.org/concern/images/df719k92z' target='_blank'>https://www.oregondigital.org/concern/images/df719k92z</a>","<a href=""https://web.archive.org/web/20230522000927/https://www.oregondigital.org/concern/images/df719k92z"" target=""_blank"">Archived Page</a>"
perez_image_railroadlogspostcard_001,Postcard: Railroad Car with Logs at the Portland Lumber Company Landing,perez_image_railroadlogspostcard_001.jpeg,image/jpeg,Gerald W. Williams,1908,1908,"The front of a postcard depicting four men in overalls standing on a railroad log car in a forest railroad track, they stand alongside logs the same size as the men.",Workers; Foresters; Postcard; Logging railroads; Railroad trains; logging,Portland (inhabited place),45.515232,-122.6783853,"<a href=""https://oregondigital.org/concern/generics/df66x7324"" target""_blank""> OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Creative Commons Public Domain Mark 1.0</a>",,"""Postcard: Railroad Car with Logs at the Portland Lumber Company Landing,"" Gerald W. Williams. 1908, Oregon Digital, Oregon. Oregon Digital, Gerald W. Williams Regional Albums (P 303), <a href='https://oregondigital.org/concern/generics/df66x7324' target='_blank'>https://oregondigital.org/concern/generics/df66x7324</a>","<a href=""http://web.archive.org/web/20230522004111/https://oregondigital.org/concern/generics/df66x7324"" target=""_blank"">Archived Page</a>"
perez_image_seedseparation_001,Working with Seed Separation Equipment Img. 1,perez_image_seedseparation_001.jpeg,image/jpeg,OSC News Bureau Photo,1959,1959,"A black and white photo showing a man in a room pouring a bucket of something into the seed separation equipment called ""The Clipper"".",Workers; Foresters; Forests and forestry—Equipment and supplies; Confiers; Seeds—Cleaning—Equipment and supplies,Corvallis (inhabited place),44.5645659,-123.2620435,"<a href=""https://www.oregondigital.org/concern/images/df736r176"" target""_blank"">OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>",,,"""Working with Seed Separation Equipment Img. 1,"" OSC News Bureau Photo. 1959, Oregon Digital, Oregon. Oregon Digital, Gwil Evans Photographic Collection, 1930-1968 (P 082), <a href='https://www.oregondigital.org/concern/images/df736r176' target='_blank'>https://www.oregondigital.org/concern/images/df736r176</a>","<a href=""http://web.archive.org/web/20230522004628/https://www.oregondigital.org/concern/images/df736r176"" target=""_blank"">Archived Page</a>"
perez_image_seedseparation_002,Working with Seed Separation Equipment Img. 2,perez_image_seedseparation_002.jpeg,image/jpeg,OSC News Bureau Photo,1959,1959,A black and white photo depicting a man kneeling next to a machine rotating pine cones while examining something in his hand and two other men standing in the room behind the machine with their backs to the camera.,Workers; Foresters; Forests and forestry—Equipment and supplies; Confiers; Seeds—Cleaning—Equipment and supplies,Corvallis (inhabited place),44.5645659,-123.2620435,"<a href=""https://www.oregondigital.org/concern/images/df736r18g"" target""_blank""> OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>",,,"""Working with Seed Separation Equipment Img. 2,"" OSC News Bureau Photo. 1959, Oregon Digital, Oregon. Oregon Digital, Gwil Evans Photographic Collection, 1930-1968 (P 082), <a href='https://www.oregondigital.org/concern/images/df736r18g' target='_blank'>https://www.oregondigital.org/concern/images/df736r18g</a>","<a href=""http://web.archive.org/web/20230522004824/https://www.oregondigital.org/concern/images/df736r18g"" target=""_blank"">Archived Page</a>"
perez_image_seedseparation_003,Working with Seed Separation Equipment Img. 3,perez_image_seedseparation_003.jpeg,image/jpeg,OSC News Bureau Photo,1959,1959,"A black and white photo depicting a man pouring pine cones into a machine surrounded with other machines behind him in the room and more pine cones on the floor, as well as another man standing in the doorway to the room with another bag simialr looking to the one being poured into the macine.",Workers; Foresters; Forests and forestry—Equipment and supplies; Confiers; Seeds—Cleaning—Equipment and supplies,Corvallis (inhabited place),44.5645659,-123.2620435,"<a href=""https://www.oregondigital.org/concern/images/df736r19r"" target""_blank"">OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>",,,"""Working with Seed Separation Equipment Img. 3,"" OSC News Bureau Photo. 1959, Oregon Digital, Oregon. Oregon Digital, Gwil Evans Photographic Collection, 1930-1968 (P 082), <a href='https://www.oregondigital.org/concern/images/df736r19r' target='_blank'>https://www.oregondigital.org/concern/images/df736r19r</a>","<a href=""http://web.archive.org/web/20230522005027/https://www.oregondigital.org/concern/images/df736r19r"" target=""_blank"">Archived Page</a>"
